,encode,set_num,ign_len,rep_time,data_block_delta,similarity,label
1048,110011100,1,2,16.0,4.0,0.21650635094610968,0
1049,110011101,1,2,14.0,5.0,0.29250896965085227,0
1050,110011110,1,2,16.0,4.0,0.21650635094610968,0
1051,110011111,1,2,14.0,5.0,0.29250896965085227,0
1052,110100001,2,2,13.0,4.0,0.21155615287496937,0
1053,110100010,2,2,14.0,3.5,0.1377235547168526,0
1054,110100011,2,2,13.0,4.0,0.1863230537914146,0
1055,110100100,1,2,16.0,4.0,0.42426406871192845,1
1056,110100101,1,2,14.0,5.0,0.3628873693012116,0
1057,110100110,1,2,16.0,4.0,0.2886751345948129,1
1058,110100111,1,2,14.0,5.0,0.2886751345948129,0
1059,110101000,1,2,16.0,4.0,0.19188064472004937,0
1060,110101001,1,2,14.0,5.0,0.26490647141300877,0
1061,110101010,1,2,16.0,4.0,0.19188064472004937,0
1062,110101011,1,2,14.0,5.0,0.26490647141300877,0
1063,110101100,1,2,16.0,4.0,0.22499999999999998,0
1064,110101101,1,2,14.0,5.0,0.280056016805602,0
1065,110101110,1,2,16.0,4.0,0.22499999999999998,0
1066,110101111,1,2,14.0,5.0,0.280056016805602,0
1067,110110000,1,2,16.0,4.0,0.2882306768491569,1
1068,110110001,1,2,14.0,5.0,0.33436692754521175,0
1069,110110010,1,2,16.0,4.0,0.16984155512168939,0
1070,110110011,1,2,14.0,5.0,0.2867696673382022,0
1071,110110100,1,2,16.0,4.0,0.3674234614174767,1
1072,110110101,1,2,14.0,5.0,0.3499271061118826,0
1073,110110110,1,2,16.0,4.0,0.21650635094610968,0
1074,110110111,1,2,14.0,5.0,0.30316953129541624,0
1075,110111000,1,2,16.0,4.0,0.1846372364689991,0
1076,110111001,1,2,14.0,5.0,0.27668578554642986,0
1077,110111010,1,2,16.0,4.0,0.1846372364689991,0
1078,110111011,1,2,14.0,5.0,0.27668578554642986,0
1079,110111100,1,2,16.0,4.0,0.21650635094610968,0
1080,110111101,1,2,14.0,5.0,0.29250896965085227,0
1081,110111110,1,2,16.0,4.0,0.21650635094610968,0
1082,110111111,1,2,14.0,5.0,0.29250896965085227,0
1083,111000001,2,2,13.0,4.0,0.21155615287496937,0
1084,111000010,2,2,14.0,3.5,0.1377235547168526,0
1085,111000011,2,2,13.0,4.0,0.1863230537914146,0
1086,111000100,1,2,16.0,4.0,0.42426406871192845,1
1087,111000101,1,2,14.0,5.0,0.3628873693012116,0
1088,111000110,1,2,16.0,4.0,0.2886751345948129,1
1089,111000111,1,2,14.0,5.0,0.2886751345948129,0
1090,111001000,1,2,16.0,4.0,0.19188064472004937,0
1091,111001001,1,2,14.0,5.0,0.26490647141300877,0
1092,111001010,1,2,16.0,4.0,0.19188064472004937,0
